,,,,,
,Motor 1 (v),Motor 2 (v),Motor 1 (angle),Motor 2 (angle) ,
,1400,1500,-79,-76,
,1420,1500,-81,-76,
,1440,1500,-82,-76,
,1460,1500,-84,-76,
,1480,1500,-86,-76,
,1500,1500,-86,-76,
,1520,1500,-88,-76,
,1540,1500,-91,-76,
,1560,1500,-93,-76,
,1580,1500,-95,-76,
,1600,1500,-97,-76,
,1620,1500,-99,-76,
,1640,1500,-101,-76,
,1660,1500,-103,-76,
,1680,1500,-105,-76,
,,,,,
,1500,1300,-88,-58,
,1500,1320,-88,-59,
,1500,1340,-86,-61,
,1500,1360,-86,-63,
,1500,1380,-86,-64,
,1500,1400,-86,-67,
,1500,1420,-86,-68,
,1500,1440,-86,-70,
,1500,1460,-86,-72,
,1500,1480,-86,-74,
,1500,1500,-86,-76,
,1500,1520,-86,-78,
,1500,1540,-86,-80,
,1500,1560,-86,-81,
,1500,1580,-86,-83,
